Variable,Coefficient,Std_Error,p_value,Pretty Variable
HDD_Norway,0.011735948175736716,0.00017773515588829258,0.0,HDD
Extreme_Cold_NO,0.143359814534319,0.014617050641682137,1.0430732277773584e-22,Extreme Cold
HDD_Extreme_NO,-0.006392026579449448,0.0005605872969121213,4.068657355061379e-30,HDD × Extreme Cold
lag1_log_no,0.539659992737876,0.0075469277399731055,0.0,Lagged demand
Holiday_Norway,-0.048218985717955756,0.001948727677203746,3.6126442955451104e-135,Holiday
ma.L1,0.2605537557753074,0.019833980334218872,2.027879116562916e-39,ma.L1
ma.S.L7,-0.7027749266069718,0.012010351083579326,0.0,ma.S.L7
sigma2,0.0003372019160201301,9.327846956176832e-06,3.7169020229230134e-286,sigma2
