Load Date,Actual,SARIMAX Full,SARIMAX Restricted,XGBoost Full,XGBoost Restricted,XGBoost No Weather,Seasonal Naïve
2025-01-01,13.056934860337847,13.040005187981118,13.036234547070121,13.050311,13.048638,13.035567,12.86190729120614
2025-01-02,13.13583029010652,13.140007816053071,13.127316199247883,13.0921,13.089729,13.065387,12.8800930703413
2025-01-03,13.147364235165202,13.17544129879671,13.16761047569214,13.133213,13.131088,13.141817,12.946868863231211
2025-01-04,13.13170956540391,13.142812884046952,13.131341011663006,13.132871,13.118542,13.095358,12.925608560428024
2025-01-05,13.143627681029034,13.150872389781895,13.139012465285532,13.122243,13.115834,13.113643,12.920951963233351
2025-01-06,13.166550583243986,13.181250190301885,13.181015784577731,13.140395,13.1437,13.162137,13.012613241444944
2025-01-07,13.128937718983458,13.128081824299159,13.131126067932222,13.118158,13.118296,13.1638775,13.045188553418276
2025-01-08,13.134173364163686,13.154849865013167,13.138230131334032,13.114648,13.1149845,13.112199,13.056934860337847
2025-01-09,13.141108583082175,13.174145430599385,13.1645632747367,13.133093,13.125003,13.130189,13.13583029010652
2025-01-10,13.129223790860967,13.180561819466924,13.172008696503973,13.135891,13.13011,13.131889,13.147364235165202
2025-01-11,13.103286566639593,13.123536953675021,13.112146037612055,13.089872,13.085532,13.073302,13.13170956540391
2025-01-12,13.117469421514018,13.13222580694513,13.119291694269837,13.095213,13.094449,13.087447,13.143627681029034
2025-01-13,13.109918257150388,13.099138192801533,13.106576444814536,13.10958,13.097382,13.165967,13.166550583243986
2025-01-14,13.03008798796182,13.031489583524007,13.040475812584049,13.043733,13.027995,13.103367,13.128937718983458
2025-01-15,13.028388905145372,12.990143954328461,12.989816368291923,12.989864,12.99324,13.023407,13.134173364163686
2025-01-16,12.989969623138112,12.992914760542247,13.000981322504476,12.989626,12.986388,13.031116,13.141108583082175
2025-01-17,12.984047988266363,12.96970872411352,12.977257108304139,12.95676,12.960119,12.997491,13.129223790860967
2025-01-18,12.95118352070921,12.943886446526715,12.945186718617961,12.932685,12.921758,12.951331,13.103286566639593
2025-01-19,12.97416030875364,12.969143597706672,12.965866966487242,12.944917,12.949869,12.952684,13.117469421514018
2025-01-20,13.053167628196228,13.046825878543991,13.043908185282671,13.056096,13.04617,13.068107,13.109918257150388
2025-01-21,13.089521953250012,13.059539101142835,13.057967156095298,13.065445,13.07084,13.075681,13.03008798796182
2025-01-22,13.088969972462294,13.093792120904634,13.086907654461314,13.090847,13.088735,13.099884,13.028388905145372
2025-01-23,13.11874082387318,13.110103036022316,13.109958163995067,13.08197,13.084475,13.079533,12.989969623138112
2025-01-24,13.097334758370112,13.094673806865769,13.101204573093092,13.081391,13.071188,13.109484,12.984047988266363
2025-01-25,12.998503917619344,12.996983088202487,13.004914742368358,12.980712,12.970767,13.026334,12.95118352070921
2025-01-26,12.995170709690834,12.979420116689845,12.980489459736685,12.960268,12.956873,12.966273,12.97416030875364
2025-01-27,13.058556322013782,13.039659619954616,13.040224644434913,13.017993,13.024139,13.038128,13.053167628196228
2025-01-28,13.041582730854197,13.027918317790009,13.031183269677133,13.028449,13.030081,13.067273,13.089521953250012
2025-01-29,13.031102986125283,13.023832600894234,13.020430393363279,13.018783,13.021961,13.027043,13.088969972462294
2025-01-30,13.04649477933492,13.059967571445242,13.059482711560465,13.044456,13.039736,13.02858,13.11874082387318
2025-01-31,13.06628814142126,13.086966974676669,13.085805529055463,13.05451,13.05302,13.065423,13.097334758370112
2025-02-01,13.046736406001326,13.06328496278733,13.058693173827383,13.017701,13.020324,13.034907,12.998503917619344
2025-02-02,13.04832924867796,13.050062375532157,13.047594422681712,13.02201,13.022064,13.038296,12.995170709690834
2025-02-03,13.093716958814207,13.079269256690342,13.08100020781967,13.057451,13.06176,13.127515,13.058556322013782
2025-02-04,13.054005304390186,13.033133043832272,13.039947783764617,13.033761,13.031478,13.10005,13.041582730854197
2025-02-05,13.008267037525936,13.003590335562132,13.004366619846568,13.00283,13.000514,13.044807,13.031102986125283
